Title,Country,Period,Classification,_ - description
Blue-ground fragment with bamboo motif,Japan,19th Century,Textiles,"rectangular strip of blue fabric with vertical bamboo and floral designs; pattern consists of white bamboo with white and green leaves, with red, yellow, white, and black flowers and black butterflies"
"Fragment decorated with butterflies, flowers, and grasses",Japan,19th Century,Textiles,"long, rectangular piece of fabric with blue, purple, green, red, and orange pattern on white background; green, blue, and purple grasses; red, orange, and purple flowers; blue and purple butterflies; pattern changes direction at center"
Sample fragment with four different stenciled motifs,Japan,19th Century,Textiles,"rectangular off-white fabric with multicolored imagery; upper section contains blue, black, and orange flowers and birds over a pink crisscross pattern; second section contains gray birds amid plants, rocks, and shells; third section contains red, gray, and black curvlinear patterns and shapes with pink and green flowers and resting, gray birds; the fourth and lowest section consists of a red fan with black flowers and yellow trim surrounded by flowers"
Purple-ground fragment with florals and kakuregasa motif,Japan,19th Century,Textiles,"rectangular fragment of purple fabric with multicolored floral pattern; black vines and branches with red, orange, yellow, blue, green, and pink flowers and leaves"
Wrapping cloth (uchikui),Japan,19th Century,Textiles,"three vertical patterned panels sewn together; red and green birds, blue water, and red, orange, green, and brown flowers"
White-ground Ryūkyūan robe (ryūso) decorated with maple leaves and florals,Japan,19th Century,Clothing,"white robe with multicolored, small scale floral pattern; red, purple, blue, green, and gray flowers and leaves with blue stems"
Fragment decorated with clouds and cranes,Japan,19th Century,Textiles,"rectangular fragment of multicolored fabric with crane and floral design; design consists of pink cranes with red and yellow feathers flying amidst pink and green trees, large pink flowers and smaller white flowers on a background of blue, red, yellow, and maroon clouds"
"Dark blue-ground lined winter robe (watajin) with dog pawprint pattern and yellow-ground lining with ivy, chrysanthemum, and bamboo grass pattern",Japan,19th Century,Clothing,"navy blue robe with square and diamond pattern design and patterned linings; pink, orange, and white square and diamond pattern throughout exterior (pattern changes slightly on mid and lower PL); blue fabric with white dot and zigzag pattern on underside of collar; yellow patterned lining on interior with black, red, purple, and blue flowers"
Surimono,Japan,19th Century,Prints,"female and male figures with animal faces; male figure at left with foxlike face wearing a pale blue kimono with khaki green foliage, black hat, and pink headband; female figure at right with mouselike face wearing a pink kimono with white round pattern, blue underkimono with white flowers, and black and blue headdress; text at top and LRQ; received framed"
Poem by Chûnagon Asatada: Endô Musha Moritô,Japan,19th Century,Prints,"seated man with his arms crossed, wearing garments that are tan, plaid, and floral, in brown, tan, and blue, with two swords at his waist; small bag in grey and white pattern with flowers in LRQ; falling leaves, with mountain landscape with fall trees in ULQ; long curled-over piece of paper with text at bottom center; received framed"
Hexagonal red hat box,Korea,19th Century,Lacquer,hexagonal shaped box with hinged cover; square fitting at front; long hasp with flower form at bottom; footed bottom; small pull form handle on front; reddish brown finish
"""Optical Occlusion."" Big Brother and the Holding Company, Mt. Rushmore, Avalon Ballroom, November 23-25",United States,20th Century,Prints,"orange, pink, and bright blue; head of woman with pink features and orange skin, with blue and pink circles and lines for hair; blue text around eyes; blue flowers and text at bottom; typewritten text in white at bottom"
"""Nashville Katz,"" Flatt & Scruggs, Lewis and Clarke Expedition, Avalon Ballroom, November 30-December 2, 1967",United States,20th Century,Prints,"flower at bottom center in the form of a woman with very long blonde hair, surrounded by red-centered daisies; two men in white cowboy hats and green jackets at top, with banjo and mandolin; multicolored spots at edges; blue typewritten text and bottom"
"Siegel Schwall, Blue Cheer, Soul Survivors, Avalon Ballroom, December 21-23, 1967",United States,20th Century,Prints,photo collage with moon in orange sky and mountains in background; horizontally placed black monkey face with wild eyes and wide open mouth with teeth bared; cat dressed in pink dress and flowered bonnet at left; blue typewritten text and bottom
"""Rocking Cloud,"" The Youngbloods, Ace of Cups, John Bauer's Rocking Cloud, Avalon Ballroom, January 5-7, 1968",United States,20th Century,Prints,portrait in black and white of four men in a blue tree with green trunk; black space with star in each top corner; large raindrops falling in blue cloudy sky with lightning bolt extending down from tree at each side; white flowers; white typewritten text at bottom
"Blues Project, Genesis, Taj Mahal and the Blue Flames, Avalon Ballroom, March 1-3, 1968",United States,20th Century,Prints,"yellow, red, and white flower (?); blue, green, and white ground; pink typewritten text at bottom center"
"Quicksilver, Ace of Cups, Flamin' Groovies, Avalon Ballroom, May 10-12, 1968",United States,20th Century,Prints,"brown bear with green eyes wearing pink ballet slippers on its hind feet, standing behind and holding up a yellow trimmed purple banner with yellow and blue text; yellow mountain in background; grass and flowers at bottom; white typewritten text at bottom"
"Young Bloods, It's a Beautiful Day, Santana Blues Band, Garden of Delights, Avalon Ballroom, June 28-30, 1968",United States,20th Century,Prints,"oval composition with orange ground around edges; portrait of a yellow-skinned woman with red hair and flowers and scrolling patterns surrounding her head, wearing a lacy blouse; blue typewritten text at bottom"
